country,date_x,total_cases,total_deaths,total_tests,people_fully_vaccinated,population_x,gdp_per_capita,life_expectancy,population_density,date_y,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density_y,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,gdp_current_usd,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,health_expenditure_percent_gdp,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population_y,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,total_recoveries,recovery_rate
Afghanistan,2023-10-18,226816.0,7952.0,994894.0,17515354.0,41128772.0,1803.987,64.83,54.422,2023-01-01,58.7415482268525,1.85278199408184,652230.0,327.0,9.04384549552644,-1.18377649784088,0.173320010304451,97.7,17.86,,8709.47,31119.04539,61.4805544056544,2.30237251516819,12.1411782947908,,,,9.89845089688421,39.2201099807684,-1.87955236434937,0.284880340099335,0.400284141302109,173.0,13.7,58.0141666666667,18.4,1.9,1.827933856217,14266499429.8746,-2.5508017539978,0.240944445133209,-1.65844225883484,0.171099364757538,-1.27180624008179,0.22212877869606,4.34319019317627,0.55571794,49.4,,35.842,7.344,61.982,41128771.0,30181937.0,-1.75158727169037,0.132212176918983,4.02249785795131,218864.0,96.49407449209933
Albania,2023-10-18,334090.0,3604.0,1613870.0,1279231.0,2842318.0,11803.431,78.57,104.871,2023-01-01,41.471897810219,28.7919708029197,27400.0,1485.0,39.8187556897742,-0.407875537872314,0.158030226826668,100.0,44.58,2309.36650255581,4383.2,8304.29494,102.615547445255,6.72520271530049,-3.05767603602252,4.7,0.154119998216629,82.3836112949451,18.1985894411308,24.5363331196553,0.0650628432631493,0.267456382513046,0.634250938892365,82.0,10.9,83.41875,82.61368583,2.5,1.58488092384586,18916378860.5488,0.114945493638515,0.233039766550064,-0.16577909886837,0.157292708754539,0.159353822469711,0.225545197725296,3.09042119979858,2.93465567,43.4,29.4,10.24,11.325,76.463,2777689.0,1005551.0,0.13946570456028,0.124169021844864,2.31196864129807,330486.0,98.92124876530276
Algeria,2023-10-18,271945.0,6881.0,230553.0,6481186.0,44903228.0,13913.839,76.88,17.348,2023-01-01,17.347004145287,0.822227647758509,2381741.0,89.0,5.8870347719346,-0.637929856777191,0.17695227265358,99.7878265380859,0.15,1368.62151887474,161563.0,266702.6795,18.5486033116111,9.26551551551553,-11.1239743121121,5.00916666666667,0.534319996833801,,,,-0.513090252876282,0.248698204755783,0.534556448459625,157.0,19.3,63.1608333333333,70.77,2.5,4.77943828648395,194998449769.085,-0.741771519184113,0.233039766550064,-0.832472681999207,0.172442346811295,-1.06357324123383,0.228334546089172,6.29934740066528,3.95616674,,27.6,21.524,4.546,76.377,44903225.0,11328186.0,-1.00387418270111,0.119970291852951,1.57318234314011,265064.0,97.46970894850061
Angola,2023-10-18,105972.0,1936.0,1618566.0,9472763.0,35588996.0,5819.495,61.15,23.89,2023-01-01,36.8147910483677,52.9817223871019,1246700.0,1010.0,10.6562939433144,-0.601941287517548,0.160002797842026,48.2238540649414,61.02,310.081668478241,19814.5,70781.0562,27.6760840619235,25.7542656453085,3.27743053021613,9.7722113762759,0.0322900004684925,,10.090385804431,16.6849522138374,-1.04042935371399,0.227610766887665,0.362405389547348,177.0,34.7,53.4645833333333,32.60230173,2.1,1.32872232786494,106782770714.619,-0.646240890026093,0.222371086478233,-1.02190458774567,0.163617998361588,-0.606698572635651,0.20897077023983,2.3321259021759,1.22474134,54.0,51.3,38.809,8.009,61.643,35588987.0,11359649.0,-0.7971311211586,0.117144703865051,4.10224812286562,104036.0,98.17310232891707
Antigua and Barbuda,2023-10-18,9106.0,146.0,16700.0,62384.0,93772.0,21490.943,77.02,231.845,2023-01-01,20.4545454545455,18.3029545454545,440.0,1030.0,76.6820627956336,0.310604453086853,0.284191817045212,100.0,0.72,,474.6,1203.631334,211.861363636364,7.53107834634289,0.766250064542456,6.996532,,,,,-0.159468576312065,0.47904047369957,0.595703899860382,113.0,2.9,48.1508333333333,95.66338947,2.9,,1867733333.33333,0.94386225938797,0.267183810472488,0.391315579414368,0.3149733543396,0.28908696770668,0.356067299842834,3.5633533000946,3.38136292,,,12.115,6.365,78.497,93763.0,70935.0,0.721560716629028,0.234196931123734,17.1637908377539,8960.0,98.39666154184054
Argentina,2023-10-18,10054576.0,130472.0,36663990.0,34897726.0,45510324.0,18933.907,76.67,16.177,2023-01-01,43.1023461553921,10.4007639520735,2736690.0,591.0,5.68540124917895,-0.447030484676361,0.15816031396389,100.0,9.84,3074.70207056563,154535.9,361433.0173,16.7387416916056,,-10.0737286927016,,0.517639994621277,,11.4685182825873,22.8339762877199,-0.282877296209335,0.244467124342918,0.602144718170166,126.0,88.2,71.7729166666667,88.37535691,2.8,0.411211298762518,631133384439.944,-0.0091632818803191,0.226615026593208,-0.48068231344223,0.161117270588875,-0.697565734386444,0.212983131408691,4.6476001739502,6.6165266,,40.7,13.902,8.955,75.39,46234830.0,3538352.0,0.543526768684387,0.127700909972191,4.62267855620475,9924104.0,98.7023619892077
Armenia,2023-10-18,450334.0,8762.0,3102267.0,998071.0,2780472.0,8787.58,75.09,102.931,2023-01-01,58.8275377590446,11.5300316122234,28470.0,562.0,35.5117335300005,0.0280352365225554,0.175906836986542,100.0,8.38,1976.86449152748,6746.6,10422.04117,98.0321039690903,8.64091108973855,3.45759847742611,1.1314639566373,0.205829992890358,60.080359768226,22.0010047423132,24.968529504044,-0.314229518175125,0.267456382513046,0.578998804092407,47.0,7.2,82.7858333333333,78.61225758,2.5,4.31710667230517,19513474648.2429,-0.797183930873871,0.239937707781792,-0.168567225337029,0.167801082134247,-0.0190788023173809,0.248197242617607,2.49326992034912,2.35682821,19.1,27.9,12.049,13.007,72.043,2780469.0,1012841.0,0.0882339403033257,0.129674553871155,2.18561731238222,441572.0,98.05433300616876
Australia,2023-10-18,11618144.0,23188.0,73370295.0,21648824.0,26177410.0,44648.71,83.44,3.202,2023-01-01,47.2592374954823,17.4213145571644,7692020.0,534.0,6.96617671203212,1.76448953151703,0.162881299853325,100.0,10.89,10071.3989785006,378996.8,571903.1199,3.33922844714392,6.59409671341846,1.58246506184137,3.35104166666667,1.82892000675201,57.9747482128782,23.598664678571,27.6268300345317,1.52887463569641,0.265415340662003,0.770239531993866,14.0,,89.94625,96.24,3.7,1.89882434777792,1692956646855.7,0.933572053909302,0.21676841378212,1.51008522510529,0.167881041765213,1.89489328861237,0.234129175543785,5.55604839324951,7.99613142,,34.3,12.1,6.7,83.3,26005540.0,3513869.0,1.31948041915894,0.137780949473381,0.744567483256587,11594956.0,99.80041562576605
Austria,2023-10-18,6081287.0,22534.0,189791719.0,6683263.0,8939617.0,45436.686,81.54,106.749,2023-01-01,31.4767256422685,47.2944740668929,82520.0,1110.0,33.4449170518288,1.25861942768097,0.162981450557709,100.0,35.77,8355.84195182134,59142.4,71017.8287,108.528805138148,8.5468699318845,,,3.25631999969482,94.5321951541873,25.8406828206258,50.0833897976174,1.46545016765594,0.238205507397652,0.746739745140076,27.0,96.2,89.9908333333333,93.61409139,4.0,0.772607157386914,470941926750.741,0.637995362281799,0.226615026593208,1.70585024356842,0.164331361651421,1.28319978713989,0.234129175543785,4.98649978637695,8.763134,17.5,30.7,9.6,10.3,81.2390243902439,9041851.0,3684012.0,1.40876078605652,0.109384782612324,0.728529506902089,6058753.0,99.62945343641897
Azerbaijan,2023-10-18,833550.0,10337.0,6947820.0,4862494.0,10358078.0,15847.419,73.0,119.309,2023-01-01,57.8415003024803,13.8329909255898,82650.0,447.0,18.0011819096168,-1.04057228565216,0.185451582074165,100.0,1.23,2202.39391828846,34305.0,55351.99383,122.658802177858,13.8522590144267,-16.5094753854858,2.2158333333333,0.208360001444817,16.8224266977958,13.4213202980155,27.1444134965323,-0.0406579151749611,0.29024812579155,0.577767550945282,28.0,13.9,73.4904166666667,86.0,2.448376,4.54596853675007,78721058823.5294,-0.931885719299316,0.239937707781792,-0.624645590782166,0.173058301210403,-0.103344202041626,0.251928895711899,2.90425944328308,1.58928382,,26.6,11.1,7.6,69.366,10141756.0,4343714.0,-1.4408358335495,0.129674553871155,1.91021189583004,823213.0,98.75988243056806
